Dataset|Attribute Name|Embeddings|Similarity Measure|Duplicates Type|Valid Pairs|BF Pairs|Domain|Average Characters D1|Average Tokens D1|Coverage D1|Average Characters D2|Average Tokens D2|Coverage D2|Portion of Valid Pairs|CNC Precision|CNC Recall|CNC F-Measure|CNC Threshold|CNC Run-time|RSR Precision|RSR Recall|RSR F-Measure|RSR Threshold|RSR Run-time|RCA Precision|RCA Recall|RCA F-Measure|RCA Threshold|RCA Run-time|BAH Precision|BAH Recall|BAH F-Measure|BAH Threshold|BAH Run-time|BMC Precision|BMC Recall|BMC F-Measure|BMC Threshold|BMC Run-time|EXC Precision|EXC Recall|EXC F-Measure|EXC Threshold|EXC Run-time|KRC Precision|KRC Recall|KRC F-Measure|KRC Threshold|KRC Run-time|UMC Precision|UMC Recall|UMC F-Measure|UMC Threshold|UMC Run-time|BMC Configuration
TMDB-TVDB|Title|FastText|WMD|Scarce|5064069|47297360|Movies|16|3|0.43|18|4|0.25|0.11|0|0|0|0|1251|0.062911488|0.078538813|0.069861904|0.949999988|1379|0.144927531|0.219178081|0.174482003|0.949999988|991|0.110767648|0.196347028|0.141633734|0.799999952|3011|0.262751162|0.465753436|0.335968375|0.899999976|896|0.542528749|0.431050241|0.480407149|0.949999988|947|0.493009567|0.611872137|0.546047211|0.949999988|2504|0.345698088|0.612785399|0.442028999|0.899999976|7096|Left
TMDB-TVDB|Title|Albert|Cosine Similarity|Scarce|4276781|47297360|Movies|16|3|0.43|18|4|0.25|0.09|0.634146333|0.142465755|0.232662201|0.949999988|60|0.1761062|0.181735158|0.1788764|0.949999988|242|0.276845634|0.301369876|0.288587689|0.949999988|963|0.164332405|0.1607306|0.162511557|0.949999988|3040|0.383245379|0.530593634|0.445040256|0.949999988|68|0.604189634|0.500456631|0.547452569|0.949999988|70|0.562345147|0.621917784|0.590633094|0.949999988|360|0.459932655|0.623744309|0.52945739|0.949999988|111|Left
TMDB-TVDB|Title|Albert|Euclidean Distance|Scarce|5064069|47297360|Movies|16|3|0.43|18|4|0.25|0.11|0.647368431|0.561643839|0.601466954|0.949999988|35|0.564685285|0.589954317|0.577043295|0.949999988|67|0.545682132|0.398173511|0.460401267|0.949999988|965|0.371727735|0.194520548|0.255395681|0.399999857|3033|0.579722703|0.610958934|0.594931066|0.949999988|44|0.654382467|0.600000024|0.626012385|0.949999988|43|0.638623297|0.610045671|0.624007463|0.949999988|260|0.579722703|0.610958934|0.594931066|0.949999988|51|Right
TMDB-TVDB|Title|Albert|WMD|Scarce|5064069|47297360|Movies|16|3|0.43|18|4|0.25|0.11|0.631661415|0.368036538|0.46508944|0.949999988|44|0.411549032|0.410045654|0.410795957|0.949999988|119|0.441176474|0.369863003|0.40238449|0.949999988|825|0.276853263|0.167123288|0.208428249|0.949999988|2911|0.504731834|0.584474862|0.54168427|0.949999988|71|0.636267245|0.547945201|0.58881253|0.949999988|57|0.604693115|0.611872137|0.608261466|0.949999988|298|0.528436005|0.610958934|0.566708982|0.949999988|83|Left
TMDB-TVDB|Abstract|FastText|Cosine Similarity|Scarce|2363886|47297360|Movies|326|64|0.25|346|68|0.2|0.05|0.734962404|0.357077628|0.480639189|0.949999988|35|0.530474067|0.429223746|0.474507838|0.949999988|106|0.467635393|0.323287666|0.38228941|0.949999988|956|0.355460376|0.15159817|0.212548003|0.949999988|2991|0.513290584|0.511415541|0.512351334|0.949999988|28|0.6285097|0.531506836|0.57595247|0.949999988|36|0.592369497|0.538812757|0.564323306|0.949999988|193|0.551115215|0.541552484|0.546292007|0.949999988|56|Right
TMDB-TVDB|Abstract|FastText|Euclidean Distance|Scarce|2363886|47297360|Movies|326|64|0.25|346|68|0.2|0.05|0.640271485|0.516894996|0.572006047|0.74999994|21|0.624321401|0.525114179|0.570436597|0.699999928|66|0.634390652|0.347031951|0.448642254|0.74999994|966|0.658436239|0.146118715|0.239162922|0.849999964|2989|0.620689631|0.526027381|0.569451213|0.74999994|30|0.629469097|0.530593634|0.575817645|0.649999917|41|0.620950341|0.525114179|0.569025278|0.74999994|169|0.620280504|0.525114179|0.568743825|0.74999994|37|Left
TMDB-TVDB|Abstract|FastText|WMD|Scarce|2363886|47297360|Movies|326|64|0.25|346|68|0.2|0.05|0|0|0|0|583|0.027168235|0.023744293|0.025341131|0.949999988|842|0.210848644|0.220091328|0.215370879|0.949999988|806|0.11618799|0.16255708|0.135515809|0.199999839|2931|0.240861624|0.336986303|0.28092882|0.949999988|176|0.576679349|0.415525109|0.483014882|0.949999988|648|0.525252521|0.522374451|0.523809552|0.949999988|1651|0.373368144|0.522374451|0.435477734|0.949999988|2889|Right
TMDB-TVDB|Abstract|Albert|Cosine Similarity|Scarce|2362287|47297360|Movies|326|64|0.25|346|68|0.2|0.05|0.640243888|0.19178082|0.295151085|0.949999988|25|0.313471496|0.221004561|0.259239405|0.949999988|90|0.412894368|0.274885833|0.330043852|0.949999988|976|0.251282066|0.134246573|0.174999997|0.949999988|2989|0.457879096|0.421917796|0.439163506|0.949999988|25|0.593563795|0.454794526|0.5149948|0.949999988|29|0.581196606|0.496803641|0.535696685|0.949999988|177|0.549748719|0.499543369|0.523444951|0.949999988|43|Right
TMDB-TVDB|Abstract|Albert|Euclidean Distance|Scarce|2363886|47297360|Movies|326|64|0.25|346|68|0.2|0.05|0.621462286|0.481278539|0.542460144|0.149999842|21|0.616996527|0.484018266|0.542476952|0.149999842|41|0.630036652|0.314155251|0.419256538|0.149999842|816|0.652173936|0.150684938|0.244807124|0.799999952|2993|0.61672473|0.484931499|0.542944789|0.149999842|32|0.61672473|0.484931499|0.542944789|0.149999842|24|0.61672473|0.484931499|0.542944789|0.149999842|169|0.615563273|0.484018266|0.541922271|0.149999842|37|Right
TMDB-TVDB|Abstract|Albert|WMD|Scarce|2363886|47297360|Movies|326|64|0.25|346|68|0.2|0.05|0.599455059|0.401826471|0.481137246|0.949999988|17|0.555288434|0.421917796|0.479501784|0.949999988|36|0.600000024|0.306849301|0.406042278|0.949999988|806|0.533073902|0.125114158|0.202662736|0.949999988|2842|0.599767983|0.472146124|0.528359711|0.949999988|28|0.609727144|0.469406396|0.530443788|0.949999988|21|0.610917509|0.480365306|0.53783232|0.949999988|148|0.609048724|0.479452044|0.536535501|0.949999988|41|Left
DBLP-Scholar|Title|FastText|Cosine Similarity|One-sided|154342270|154364148|Bibliographic|56|8|1|60|9|1|1|0.980769217|0.751299798|0.850834072|0.949999988|867|0.886386395|0.767331004|0.822573125|0.949999988|1297|0.697204947|0.389081448|0.499443769|0.899999976|2181|0.526802242|0.123483539|0.200070217|0.899999976|145901|0.913945258|0.897313714|0.905553102|0.899999976|1118|0.936766028|0.898613513|0.917293191|0.849999964|1067|0.940108895|0.89774698|0.918439746|0.899999976|8266|0.919717669|0.90337956|0.91147536|0.899999976|1441|Right
DBLP-Scholar|Title|FastText|Euclidean Distance|One-sided|154364148|154364148|Bibliographic|56|8|1|60|9|1|1|0.982603788|0.758665502|0.85623467|0.599999905|849|0.942903757|0.751299798|0.836267114|0.599999905|1315|0.859872639|0.350953192|0.498461515|0.499999881|1714|0.587171078|0.154679373|0.24485597|0.449999869|145719|0.907018304|0.879116118|0.892849267|0.499999881|1102|0.93773061|0.880849242|0.908400357|0.449999869|1295|0.936924517|0.881715775|0.908482194|0.499999881|7681|0.914655924|0.886915088|0.900571942|0.499999881|1424|Right
DBLP-Scholar|Title|FastText|WMD|One-sided|154364148|154364148|Bibliographic|56|8|1|60|9|1|1|0|0|0|0|80354|0.060606062|0.06239168|0.061485909|0.699999928|169340|0.259936392|0.28336221|0.271144271|0.399999857|2402|0.107710652|0.117417678|0.11235489|0.349999845|146491|0.589825094|0.642980933|0.615257084|0.949999988|11696|0.66561085|0.637348354|0.651173115|0.949999988|142902|0.630096674|0.649480045|0.639641523|0.949999988|213227|0.597376764|0.651213169|0.623134255|0.949999988|733610|Right
DBLP-Scholar|Title|Albert|Cosine Similarity|One-sided|153738496|154364148|Bibliographic|56|8|1|60|9|1|1|0.883720934|0.049393415|0.093557648|0.949999988|1570|0.064485982|0.059792027|0.062050361|0.949999988|3774|0.669931829|0.681542456|0.675687253|0.949999988|2531|0.050874405|0.055459272|0.053067993|0.449999869|145916|0.671209514|0.682842314|0.676975906|0.949999988|1183|0.795687914|0.671577096|0.728383422|0.949999988|1584|0.727107882|0.694974005|0.710677862|0.949999988|9131|0.686567187|0.697573662|0.692026675|0.949999988|2550|Right
DBLP-Scholar|Title|Albert|Euclidean Distance|One-sided|154364148|154364148|Bibliographic|56|8|1|60|9|1|1|0.988505721|0.633448899|0.772115052|0.149999842|849|0.959237337|0.632149041|0.762078881|0.199999839|1226|0.954661548|0.64774698|0.771812081|0.149999842|2387|0.78231293|0.049826689|0.093686357|0.949999988|150025|0.956301451|0.654246092|0.77694881|0.149999842|1113|0.979180217|0.652079701|0.782834828|0.149999842|980|0.976699054|0.653812826|0.783285737|0.149999842|7583|0.953134894|0.652079701|0.774376094|0.149999842|1411|Right
DBLP-Scholar|Title|Albert|WMD|One-sided|154364148|154364148|Bibliographic|56|8|1|60|9|1|1|0.873715103|0.25779897|0.398126483|0.949999988|882|0.325207472|0.271663785|0.296034008|0.949999988|1557|0.723404229|0.633448899|0.675444663|0.949999988|2045|0.196779966|0.047660314|0.076735266|0.949999988|151492|0.725925922|0.636915088|0.678513706|0.949999988|970|0.77434808|0.630415916|0.695008397|0.949999988|1107|0.75063616|0.639081478|0.690381527|0.949999988|8513|0.729743063|0.63994801|0.681902111|0.949999988|1782|Right
Movies|Title|FastText|Cosine Similarity|Balanced|378388014|640170930|Movies|18|3|1|24|6|1|0.59|0.989897311|0.257140368|0.40823555|0.849999964|2249|0.870984793|0.288194895|0.433087945|0.849999964|3529|0.623183727|0.253247619|0.360141814|0.74999994|25828|0.718214095|0.318724573|0.441515952|0.74999994|128015|0.764792264|0.387263268|0.514169574|0.74999994|2942|0.945834816|0.352097273|0.513163745|0.74999994|3124|0.869793832|0.463106334|0.604406893|0.599999905|36860|0.751234353|0.485806763|0.590044618|0.649999917|11199|Right
Movies|Title|FastText|Euclidean Distance|Balanced|378631606|640170930|Movies|18|3|1|24|6|1|0.59|0.982142866|0.062546469|0.117603518|0.549999893|2393|0.546693921|0.105235532|0.176496476|0.449999869|6877|0.404127926|0.112190001|0.175624788|0.399999857|23999|0.528600335|0.377115875|0.440189958|0.099999845|129658|0.559288263|0.393211752|0.461771578|0.149999842|75871|0.932466686|0.128635794|0.226082951|0.399999857|6497|0.832852066|0.441543102|0.57712096|0.049999844|692383|0.638933182|0.455801964|0.532050192|0.099999845|2719287|Right
